time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
2020-01-31 16:36:09+0000,59.8,167.0,21.4,15.4,58.0,2.6,1397.0,47.9,6.0
2020-02-14 19:10:43+0000,61.5,167.0,22.0,15.5,57.9,2.6,1413.0,49.2,7.0
2020-02-17 11:55:21+0000,61.0,167.0,21.8,15.2,58.1,2.6,1406.0,49.0,6.0
2020-02-20 20:25:42+0000,62.5,167.0,22.4,16.5,57.2,2.6,1428.0,49.5,7.0
2020-02-23 11:10:45+0000,61.9,167.0,22.1,16.2,57.4,2.6,1419.0,49.2,7.0
2020-02-28 11:00:40+0000,63.7,167.0,22.8,17.3,56.6,2.6,1446.0,49.9,8.0
2020-02-29 15:20:43+0000,63.7,167.0,22.8,17.6,56.4,2.6,1446.0,49.7,8.0
2020-03-01 16:33:48+0000,63.1,167.0,22.6,17.0,56.8,2.6,1437.0,49.6,7.0
2020-03-02 17:43:43+0000,63.1,167.0,22.6,17.0,56.9,2.6,1437.0,49.6,7.0
2020-03-03 20:30:34+0000,64.2,167.0,23.0,17.9,56.2,2.6,1453.0,49.9,8.0
2020-03-04 20:07:39+0000,64.6,167.0,23.1,18.0,56.2,2.6,1459.0,50.2,8.0
2020-03-05 20:33:08+0000,64.6,167.0,23.1,18.1,56.1,2.6,1459.0,50.1,8.0
2020-03-06 21:55:25+0000,64.8,167.0,23.2,18.2,56.0,2.6,1462.0,50.2,8.0
2020-03-07 20:03:46+0000,64.8,167.0,23.2,18.2,56.0,2.6,1462.0,50.2,8.0
2020-03-10 17:20:07+0000,64.5,167.0,23.1,17.9,56.2,2.6,1458.0,50.2,8.0
2020-03-12 20:01:50+0000,65.0,167.0,23.3,18.5,55.8,2.6,1465.0,50.2,8.0
2020-03-15 10:25:19+0000,64.5,167.0,23.1,18.3,56.0,2.6,1458.0,49.9,8.0
2020-03-17 17:35:02+0000,64.5,167.0,23.1,18.3,55.9,2.6,1458.0,49.9,8.0
2020-03-18 19:55:37+0000,65.5,167.0,23.4,18.9,55.5,2.6,1473.0,50.3,10.0
2020-03-19 21:26:45+0000,65.5,167.0,23.4,18.9,55.5,2.6,1473.0,50.3,10.0
2020-03-20 20:58:47+0000,65.5,167.0,23.4,18.4,55.9,2.7,1473.0,50.6,10.0
2020-03-21 20:45:14+0000,65.5,167.0,23.4,18.8,55.6,2.7,1473.0,50.4,10.0
2020-03-23 21:28:36+0000,65.5,167.0,23.4,18.5,55.8,2.7,1473.0,50.6,10.0
2020-03-24 21:45:28+0000,65.5,167.0,23.4,18.7,55.7,2.7,1473.0,50.4,10.0
2020-03-25 21:05:38+0000,65.5,167.0,23.4,18.9,55.5,2.6,1473.0,50.3,10.0
2020-03-28 18:40:18+0000,65.5,167.0,23.4,19.1,55.4,2.6,1473.0,50.2,10.0
2020-03-30 21:26:18+0000,66.2,167.0,23.7,19.1,55.4,2.7,1483.0,50.8,10.0
2020-03-30 22:26:38+0000,66.2,167.0,23.7,19.1,55.4,2.7,1483.0,50.8,10.0
2020-03-31 21:34:50+0000,66.2,167.0,23.7,19.2,55.3,2.7,1483.0,50.7,10.0
